0 0,5495 0
291 0,9965 0,95
292 0,9975 0,95
293 0,9965 0,95
294 0,997 0,95
295 0,9965 0,95
296 0,9975 0,95
297 0,996 0,95
298 0,9955 0,95
299 0,9925 0,95
300 0,993 0,95
301 0,9905 0,95
302 0,997 0,95
303 0,9975 0,95
304 0,9975 0,95
305 0,9975 0,95
306 0,9965 0,95
307 0,996 0,95
308 0,995 0,95
309 0,9965 0,95
310 0,9965 0,95
311 0,9945 0,95
312 0,997 0,95
313 0,996 0,95
314 0,9965 0,95
315 0,9965 0,95
316 0,996 0,95
317 0,9965 0,95
318 0,993 0,95
319 0,9935 0,95
320 0,9895 0,95
321 0,9965 0,95
322 0,9975 0,95
323 0,997 0,95
324 0,9965 0,95
325 0,998 0,95
326 0,9955 0,95
327 0,998 0,95
328 0,9955 0,95
329 0,9975 0,95
330 0,9955 0,95
331 0,9975 0,95
332 0,995 0,95
333 0,9975 0,95
334 0,992 0,95
335 0,9915 0,95
336 0,9865 0,95
337 0,9925 0,95
338 0,99 0,95
339 0,998 0,95
340 0,998 0,95
341 0,9975 0,95
342 0,998 0,95
343 0,9955 0,95
344 0,998 0,95
345 0,9955 0,95
346 0,998 0,95
347 0,9975 0,95
348 0,9945 0,95
349 0,998 0,95
350 0,9975 0,95
351 0,9955 0,95
352 0,9975 0,95
353 0,9955 0,95
354 0,998 0,95
355 0,9945 0,95
356 0,998 0,95
357 0,997 0,95
358 0,993 0,95
359 0,995 0,95
360 0,9955 0,95
361 0,998 0,95
362 0,9975 0,95
363 0,993 0,95
364 0,9965 0,95
365 0,998 0,95
366 0,998 0,95
367 0,995 0,95
368 0,998 0,95
369 0,998 0,95
370 0,999 0,95
371 0,9995 0,95
372 0,999 0,95
373 0,9995 0,95
374 0,998 0,95
375 0,999 0,95
376 0,9995 0,95
377 0,9995 0,95
378 0,999 0,95
379 0,9995 0,95
380 0,9995 0,95
381 0,999 0,95
382 0,9995 0,95
383 0,9985 0,95
384 0,9995 0,95
385 0,9995 0,95
386 0,999 0,95
